Response,Effective To Date,Customer,State,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Number of Open Complaints,Months Since Last Claim,Coverage,Monthly Premium Auto,Policy Type,Policy,Months Since Policy Inception,Number of Policies,Renew Offer Type,Vehicle Class,Vehicle Size,Sales Channel,Total Claim Amount,Customer Lifetime Value
0,2/24/11,BU79786,Washington,Bachelor,Employed,F,56274,Suburban,Married,0,32,Basic,69,Corporate Auto,Corporate L3,5,1,Offer1,Two-Door Car,Medsize,Agent,384.811147,2763.519279
0,1/31/11,QZ44356,Arizona,Bachelor,Unemployed,F,0,Suburban,Single,0,13,Extended,94,Personal Auto,Personal L3,42,8,Offer3,Four-Door Car,Medsize,Agent,1131.464935,6979.535903
0,2/19/11,AI49188,Nevada,Bachelor,Employed,F,48767,Suburban,Married,0,18,Premium,108,Personal Auto,Personal L3,38,2,Offer1,Two-Door Car,Medsize,Agent,566.472247,12887.43165
0,1/20/11,WW63253,California,Bachelor,Unemployed,M,0,Suburban,Married,0,18,Basic,106,Corporate Auto,Corporate L2,65,7,Offer1,SUV,Medsize,Call Center,529.881344,7645.861827
0,2002-03-11,HB64268,Washington,Bachelor,Employed,M,43836,Rural,Single,0,12,Basic,73,Personal Auto,Personal L1,44,1,Offer1,Four-Door Car,Medsize,Agent,138.130879,2813.692575
1,1/25/11,OC83172,Oregon,Bachelor,Employed,F,62902,Rural,Married,0,14,Basic,69,Personal Auto,Personal L3,94,2,Offer2,Two-Door Car,Medsize,Web,159.383042,8256.2978
1,2/24/11,XZ87318,Oregon,College,Employed,F,55350,Suburban,Married,0,0,Basic,67,Corporate Auto,Corporate L3,13,9,Offer1,Four-Door Car,Medsize,Agent,321.6,5380.898636
0,1/18/11,CF85061,Arizona,Master,Unemployed,M,0,Urban,Single,0,0,Premium,101,Corporate Auto,Corporate L3,68,4,Offer1,Four-Door Car,Medsize,Agent,363.02968,7216.100311
1,1/26/11,DY87989,Oregon,Bachelor,Medical Leave,M,14072,Suburban,Divorced,0,13,Basic,71,Corporate Auto,Corporate L3,3,2,Offer1,Four-Door Car,Medsize,Agent,511.2,24127.50402
0,2/17/11,BQ94931,Oregon,College,Employed,F,28812,Urban,Married,0,17,Extended,93,Special Auto,Special L2,7,8,Offer2,Four-Door Car,Medsize,Branch,425.527834,7388.178085
0,2/21/11,SX51350,California,College,Unemployed,M,0,Suburban,Single,0,23,Basic,67,Personal Auto,Personal L3,5,3,Offer1,Four-Door Car,Small,Agent,482.4,4738.992022
0,2001-06-11,VQ65197,California,College,Unemployed,F,0,Suburban,Married,0,27,Basic,110,Personal Auto,Personal L3,87,3,Offer2,SUV,Medsize,Agent,528,8197.197078
0,2002-06-11,DP39365,California,Master,Employed,M,77026,Urban,Married,2,9,Premium,110,Corporate Auto,Corporate L1,82,3,Offer2,Four-Door Car,Medsize,Agent,472.029737,8798.797003
1,2001-10-11,SJ95423,Arizona,High School or Below,Employed,M,99845,Suburban,Married,1,23,Basic,110,Corporate Auto,Corporate L3,25,8,Offer2,SUV,Medsize,Branch,528,8819.018934
0,1/18/11,IL66569,California,College,Employed,M,83689,Urban,Single,2,21,Basic,70,Corporate Auto,Corporate L3,10,8,Offer4,Four-Door Car,Medsize,Call Center,307.139132,5384.431665
0,1/17/11,BW63560,Oregon,Bachelor,Employed,F,24599,Rural,Married,1,12,Basic,64,Corporate Auto,Corporate L2,50,2,Offer2,Four-Door Car,Medsize,Branch,42.920271,7463.139377
0,2002-06-11,FV94802,Nevada,High School or Below,Medical Leave,M,25049,Suburban,Married,0,14,Basic,67,Personal Auto,Personal L3,7,1,Offer2,Two-Door Car,Medsize,Call Center,454.245098,2566.867823
0,2001-05-11,OE15005,California,College,Medical Leave,M,28855,Suburban,Married,0,12,Basic,101,Personal Auto,Personal L2,59,1,Offer3,SUV,Medsize,Call Center,647.442031,3945.241604
0,2/27/11,WC83389,Oregon,College,Employed,M,51148,Urban,Married,0,9,Basic,72,Personal Auto,Personal L2,1,7,Offer2,Four-Door Car,Medsize,Branch,308.981664,5710.333115
0,1/14/11,FL50705,California,High School or Below,Employed,F,66140,Suburban,Married,0,11,Premium,101,Corporate Auto,Corporate L2,21,3,Offer1,Four-Door Car,Small,Call Center,484.8,8162.617053
0,2/19/11,ZK25313,Oregon,High School or Below,Employed,M,57749,Suburban,Single,0,31,Basic,74,Personal Auto,Personal L2,21,1,Offer1,Two-Door Car,Medsize,Branch,355.2,2872.051273
0,1/21/11,SV62436,Washington,Bachelor,Disabled,F,13789,Suburban,Divorced,0,8,Extended,79,Personal Auto,Personal L3,49,1,Offer4,Four-Door Car,Medsize,Call Center,379.2,3041.791561
1,1/26/11,YH23384,Arizona,Bachelor,Medical Leave,M,14072,Suburban,Divorced,0,13,Basic,71,Personal Auto,Personal L3,3,2,Offer1,Four-Door Car,Medsize,Agent,511.2,24127.50402
0,2/24/11,TZ98966,Nevada,Bachelor,Unemployed,F,0,Suburban,Single,3,4,Basic,73,Corporate Auto,Corporate L3,44,1,Offer1,Four-Door Car,Medsize,Branch,554.376763,2450.190996
0,2002-05-11,HM55802,California,Bachelor,Disabled,F,17870,Suburban,Married,0,30,Basic,61,Corporate Auto,Corporate L2,91,1,Offer2,Four-Door Car,Medsize,Branch,439.2,2392.10789
