user_id,rating,title
0,5,Star Wars (1977)
290,5,Star Wars (1977)
79,4,Star Wars (1977)
2,5,Star Wars (1977)
8,5,Star Wars (1977)
274,5,Star Wars (1977)
227,4,Star Wars (1977)
99,5,Star Wars (1977)
305,5,Star Wars (1977)
108,4,Star Wars (1977)
63,4,Star Wars (1977)
234,4,Star Wars (1977)
97,5,Star Wars (1977)
117,5,Star Wars (1977)
70,4,Star Wars (1977)
318,2,Star Wars (1977)
145,5,Star Wars (1977)
124,3,Star Wars (1977)
253,4,Star Wars (1977)
271,5,Star Wars (1977)
254,5,Star Wars (1977)
326,5,Star Wars (1977)
213,5,Star Wars (1977)
80,3,Star Wars (1977)
322,5,Star Wars (1977)
28,4,Star Wars (1977)
267,5,Star Wars (1977)
130,5,Star Wars (1977)
262,2,Star Wars (1977)
230,5,Star Wars (1977)
316,1,Star Wars (1977)
327,3,Star Wars (1977)
299,4,Star Wars (1977)
144,5,Star Wars (1977)
162,5,Star Wars (1977)
48,4,Star Wars (1977)
141,4,Star Wars (1977)
251,5,Star Wars (1977)
297,5,Star Wars (1977)
137,5,Star Wars (1977)
154,5,Star Wars (1977)
257,5,Star Wars (1977)
269,3,Star Wars (1977)
123,3,Star Wars (1977)
94,5,Star Wars (1977)
330,5,Star Wars (1977)
368,4,Star Wars (1977)
77,4,Star Wars (1977)
321,4,Star Wars (1977)
381,5,Star Wars (1977)
43,4,Star Wars (1977)
286,4,Star Wars (1977)
247,5,Star Wars (1977)
68,5,Star Wars (1977)
150,5,Star Wars (1977)
214,3,Star Wars (1977)
210,5,Star Wars (1977)
158,4,Star Wars (1977)
279,3,Star Wars (1977)
288,4,Star Wars (1977)
280,3,Star Wars (1977)
25,5,Star Wars (1977)
102,4,Star Wars (1977)
209,5,Star Wars (1977)
103,5,Star Wars (1977)
398,5,Star Wars (1977)
379,4,Star Wars (1977)
409,5,Star Wars (1977)
386,4,Star Wars (1977)
407,4,Star Wars (1977)
101,4,Star Wars (1977)
201,4,Star Wars (1977)
203,5,Star Wars (1977)
283,5,Star Wars (1977)
128,4,Star Wars (1977)
200,5,Star Wars (1977)
58,4,Star Wars (1977)
54,5,Star Wars (1977)
311,5,Star Wars (1977)
96,5,Star Wars (1977)
4,5,Star Wars (1977)
401,1,Star Wars (1977)
71,3,Star Wars (1977)
59,5,Star Wars (1977)
176,5,Star Wars (1977)
