ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_rating
1,D,Flight,4,177,3,low,F,44,1233,1,0
2,F,Flight,4,216,2,low,M,59,3088,1,1
3,A,Flight,2,183,4,low,M,48,3374,1,0
4,B,Flight,3,176,4,medium,M,10,1177,1,0
5,C,Flight,2,184,3,medium,F,46,2484,1,0
6,F,Flight,3,162,3,medium,F,12,1417,1,0
7,D,Flight,3,250,3,low,F,3,2371,1,0
8,F,Flight,4,233,2,low,F,48,2804,1,0
9,A,Flight,3,150,3,low,F,11,1861,1,0
10,B,Flight,3,164,3,medium,F,29,1187,1,0
11,C,Flight,3,189,2,medium,M,12,2888,1,0
12,F,Flight,4,232,3,medium,F,32,3253,1,1
13,D,Flight,3,198,3,medium,F,1,3667,1,1
14,F,Flight,4,275,3,high,M,29,2602,1,0
15,A,Flight,4,152,3,low,M,43,1009,1,0
16,B,Flight,4,227,3,low,F,45,2707,1,0
17,C,Flight,3,143,2,medium,F,6,1194,1,0
18,F,Ship,5,227,3,medium,M,36,3952,1,1
19,D,Ship,5,239,3,high,M,18,2495,1,1
20,F,Ship,4,145,3,medium,M,45,1059,1,1
21,A,Ship,3,161,2,medium,F,38,1521,1,0
22,B,Ship,3,232,4,medium,F,51,2899,1,0
23,C,Ship,2,156,2,low,M,2,1750,1,1
24,F,Ship,4,211,3,high,M,12,3922,1,0
25,D,Ship,4,251,2,medium,F,28,3561,1,1
26,F,Ship,3,225,4,low,M,29,3496,1,0
27,A,Ship,4,172,3,high,F,24,1066,1,0
28,B,Ship,5,162,3,medium,M,31,1435,1,0
29,C,Ship,2,234,4,low,M,44,3134,1,0
30,F,Ship,5,183,2,low,F,36,3819,1,0
31,D,Ship,3,266,2,medium,F,38,2741,1,0
32,F,Ship,5,257,2,low,F,61,3341,1,0
33,A,Ship,3,223,3,low,F,22,3795,1,0
34,B,Ship,4,234,3,medium,M,4,3261,1,0
35,C,Ship,4,227,4,medium,F,22,2460,1,0
36,F,Ship,5,149,3,medium,F,44,1811,1,0
37,D,Ship,3,137,4,high,F,62,1477,1,1
38,F,Ship,2,181,6,medium,F,16,3605,1,0
39,A,Ship,5,215,4,low,F,56,3905,1,0
40,B,Ship,4,269,5,low,F,45,2383,1,0
41,C,Ship,5,227,2,low,M,15,3798,1,0
42,F,Ship,5,139,4,medium,M,61,1265,1,1
43,D,Ship,3,137,2,medium,M,38,1647,1,1
